date,platform,landing_visitors,signups,sessions,active_users,checkout_starts,completed_orders,gmv_usd,crash_sessions,total_sessions,support_tickets
2025-12-01,iOS,18200,612,42100,8900,3100,2080,98240,168,42100,42
2025-12-01,Android,21400,701,48900,10200,3600,2410,113680,201,48900,51
2025-12-01,Web,9800,198,11200,2400,890,610,28790,12,11200,18
2025-12-02,iOS,17800,588,40500,8700,2980,1990,94120,155,40500,39
2025-12-02,Android,20900,668,47200,9950,3450,2290,108040,189,47200,48
2025-12-02,Web,9600,185,10800,2310,860,585,27510,10,10800,16
2025-12-03,iOS,19100,640,43800,9100,3220,2180,101760,162,43800,41
2025-12-03,Android,22100,724,50100,10450,3720,2520,118880,195,50100,49
2025-12-03,Web,10100,210,11600,2480,920,635,29980,11,11600,17
2025-12-04,iOS,18600,601,41200,8850,3050,2040,95880,160,41200,40
2025-12-04,Android,21600,695,48100,10080,3580,2360,111920,198,48100,50
2025-12-04,Web,9900,192,11050,2380,900,598,28140,11,11050,17
2025-12-05,iOS,19500,658,44500,9250,3310,2240,104640,158,44500,38
2025-12-05,Android,22800,751,51200,10680,3810,2590,122160,192,51200,47
2025-12-05,Web,10400,218,11950,2550,950,662,31340,9,11950,15
2025-12-06,iOS,20100,682,45800,9480,3420,2320,108480,151,45800,37
2025-12-06,Android,23400,778,52800,10920,3940,2680,126560,186,52800,45
2025-12-06,Web,10700,226,12300,2620,980,685,32410,8,12300,14
2025-12-07,iOS,19800,671,44900,9320,3360,2270,106080,154,44900,36
2025-12-07,Android,23000,762,51800,10740,3870,2610,123120,190,51800,46
2025-12-07,Web,10500,221,12080,2580,965,672,31840,9,12080,15
2025-12-08,iOS,20400,695,46200,9610,3480,2380,111120,149,46200,35
2025-12-08,Android,23800,792,53600,11080,4010,2740,128960,183,53600,44
2025-12-08,Web,10900,234,12650,2680,1010,702,33060,8,12650,13
2025-12-09,iOS,20800,712,47100,9780,3560,2440,113920,147,47100,34
2025-12-09,Android,24200,810,54800,11320,4120,2820,132480,179,54800,43
2025-12-09,Web,11200,241,13020,2750,1045,728,34280,7,13020,12
2025-12-10,iOS,21100,728,47900,9920,3620,2490,116280,145,47900,33
2025-12-10,Android,24600,828,55600,11480,4190,2880,135360,176,55600,42
2025-12-10,Web,11400,248,13300,2810,1070,748,35240,7,13300,12
2025-12-11,iOS,20700,718,46800,9680,3540,2420,112560,148,46800,34
2025-12-11,Android,24100,815,54200,11260,4080,2790,131040,181,54200,43
2025-12-11,Web,11100,244,13120,2780,1055,735,34650,8,13120,13
2025-12-12,iOS,21500,741,48600,10050,3710,2560,119680,142,48600,32
2025-12-12,Android,25000,845,56400,11640,4260,2940,138160,174,56400,41
2025-12-12,Web,11600,254,13650,2880,1100,772,36320,6,13650,11
2025-12-13,iOS,21900,756,49400,10210,3780,2620,122480,140,49400,31
2025-12-13,Android,25400,861,57200,11820,4340,3010,141360,171,57200,40
2025-12-13,Web,11800,261,13980,2930,1125,791,37270,6,13980,11
2025-12-14,iOS,21600,748,48800,10100,3740,2580,120640,141,48800,32
2025-12-14,Android,25100,852,56600,11700,4290,2960,138720,172,56600,41
2025-12-14,Web,11700,258,13810,2900,1110,778,36640,7,13810,12
2025-12-15,iOS,22200,768,50100,10380,3840,2670,124560,138,50100,30
2025-12-15,Android,25800,878,58100,12010,4420,3080,144480,169,58100,39
2025-12-15,Web,12000,268,14280,2980,1155,812,38240,6,14280,10
2025-12-16,iOS,22500,781,50800,10540,3900,2720,127040,136,50800,29
2025-12-16,Android,26100,892,58900,12180,4480,3140,147280,167,58900,38
2025-12-16,Web,12200,274,14560,3020,1180,831,39120,5,14560,10
2025-12-17,iOS,22100,772,49900,10320,3850,2640,122880,137,49900,30
2025-12-17,Android,25700,871,57800,11940,4400,3050,143040,170,57800,39
2025-12-17,Web,11900,266,14120,2960,1140,804,37760,6,14120,11
2025-12-18,iOS,22800,798,51400,10680,3980,2780,129920,134,51400,28
2025-12-18,Android,26500,908,59600,12340,4550,3190,149760,165,59600,37
2025-12-18,Web,12400,281,14820,3080,1210,852,40160,5,14820,9
2025-12-19,iOS,23100,812,52100,10820,4040,2820,131760,133,52100,27
2025-12-19,Android,26800,921,60400,12490,4620,3250,152480,163,60400,36
2025-12-19,Web,12600,288,15040,3120,1235,871,41040,5,15040,9
2025-12-20,iOS,23400,826,52800,10960,4100,2860,133840,131,52800,26
2025-12-20,Android,27100,934,61100,12620,4680,3300,154880,161,61100,35
2025-12-20,Web,12800,295,15310,3160,1260,892,42080,4,15310,8
2025-12-21,iOS,23000,818,52200,10840,4060,2830,132480,132,52200,27
2025-12-21,Android,26700,925,60200,12510,4630,3260,153280,162,60200,36
2025-12-21,Web,12500,290,15100,3130,1245,878,41440,5,15100,9
2025-12-22,iOS,23600,838,53400,11080,4140,2890,135360,129,53400,25
2025-12-22,Android,27400,948,61800,12780,4720,3340,156640,159,61800,34
2025-12-22,Web,13000,301,15580,3210,1285,908,42800,4,15580,8
2025-12-23,iOS,23900,851,54100,11220,4200,2940,137760,128,54100,24
2025-12-23,Android,27700,962,62500,12920,4780,3390,159120,157,62500,33
2025-12-23,Web,13200,308,15820,3260,1310,928,43760,4,15820,7
2025-12-24,iOS,21800,742,49200,10180,3820,2610,122280,135,49200,28
2025-12-24,Android,25200,881,56800,11760,4360,3080,144480,168,56800,37
2025-12-24,Web,12100,272,14400,2990,1165,824,38880,6,14400,10
2025-12-25,iOS,20500,688,46100,9520,3580,2440,114240,140,46100,31
2025-12-25,Android,23800,824,53400,11040,4080,2880,135360,171,53400,40
2025-12-25,Web,11400,254,13580,2810,1090,772,36480,7,13580,11
2025-12-26,iOS,22600,804,51800,10760,4080,2840,133120,130,51800,26
2025-12-26,Android,26200,905,59200,12280,4560,3220,151040,164,59200,35
2025-12-26,Web,12300,276,14680,3040,1195,842,39680,5,14680,9
2025-12-27,iOS,23200,822,52600,10920,4120,2870,134480,128,52600,25
2025-12-27,Android,26900,928,60800,12580,4640,3280,153920,160,60800,34
2025-12-27,Web,12700,292,15200,3140,1250,884,41600,4,15200,8
2025-12-28,iOS,23500,834,53200,11040,4160,2900,135680,127,53200,24
2025-12-28,Android,27200,941,61400,12720,4680,3320,155680,158,61400,33
2025-12-28,Web,12900,298,15440,3180,1270,898,42240,4,15440,7
2025-12-29,iOS,23800,848,53800,11160,4210,2940,137280,125,53800,23
2025-12-29,Android,27500,956,62100,12860,4730,3360,157440,156,62100,32
2025-12-29,Web,13100,304,15680,3220,1290,914,42960,4,15680,7
2025-12-30,iOS,24100,862,54500,11280,4260,2980,138880,123,54500,22
2025-12-30,Android,27800,971,62800,13000,4780,3410,159360,154,62800,31
2025-12-30,Web,13300,311,15920,3260,1315,932,43760,3,15920,6
2025-12-31,iOS,24400,876,55200,11420,4310,3020,140480,121,55200,21
2025-12-31,Android,28100,986,63500,13140,4830,3460,161600,152,63500,30
2025-12-31,Web,13500,318,16180,3300,1340,952,44640,3,16180,6
2026-01-01,iOS,22800,798,51200,10620,4020,2780,129360,126,51200,24
2026-01-01,Android,26400,934,59800,12420,4580,3260,152320,158,59800,33
2026-01-01,Web,12600,296,15180,3120,1240,876,41840,5,15180,8
2026-01-02,iOS,24200,884,54800,11340,4280,3000,139200,120,54800,21
2026-01-02,Android,28200,998,63800,13220,4860,3490,162880,151,63800,29
2026-01-02,Web,13600,322,16280,3320,1350,958,44880,3,16280,6
2026-01-03,iOS,24600,898,55600,11520,4340,3050,141280,118,55600,20
2026-01-03,Android,28600,1012,64600,13380,4910,3540,165120,149,64600,28
2026-01-03,Web,13800,328,16480,3360,1368,972,45520,3,16480,5
2026-01-04,iOS,24300,891,55000,11410,4300,3020,139840,119,55000,21
